APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,GITANAS,NAUSĖDA,,193,62,255,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,SAULIUS,SKVERNELIS,,175,49,224,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,INGRIDA,ŠIMONYTĖ,,114,52,166,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,VYTENIS POVILAS,ANDRIUKAITIS,,57,12,69,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,ARVYDAS,JUOZAITIS,,32,8,40,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,MINDAUGAS,PUIDOKAS,,26,8,34,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,VALDEMAR,TOMAŠEVSKI,,11,1,12,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,NAGLIS,PUTEIKIS,,8,1,9,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,1,Senamiesčio,1421,821,620,5,194,2,VALENTINAS,MAZURONIS,,4,1,5,,T,1001,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,GITANAS,NAUSĖDA,,243,65,308,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,SAULIUS,SKVERNELIS,,239,62,301,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,INGRIDA,ŠIMONYTĖ,,104,53,157,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,VYTENIS POVILAS,ANDRIUKAITIS,,42,20,62,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,MINDAUGAS,PUIDOKAS,,23,14,37,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,ARVYDAS,JUOZAITIS,,25,12,37,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,NAGLIS,PUTEIKIS,,11,4,15,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,VALDEMAR,TOMAŠEVSKI,,12,1,13,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,2,V. Kudirkos,1840,953,708,9,233,3,VALENTINAS,MAZURONIS,,9,2,11,,T,1002,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,GITANAS,NAUSĖDA,,214,89,303,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,SAULIUS,SKVERNELIS,,173,63,236,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,INGRIDA,ŠIMONYTĖ,,99,76,175,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,VYTENIS POVILAS,ANDRIUKAITIS,,33,32,65,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,ARVYDAS,JUOZAITIS,,24,12,36,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,MINDAUGAS,PUIDOKAS,,18,10,28,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,NAGLIS,PUTEIKIS,,9,4,13,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,VALDEMAR,TOMAŠEVSKI,,4,3,7,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,3,Respublikos,1739,882,575,11,293,3,VALENTINAS,MAZURONIS,,1,4,5,,T,1003,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,GITANAS,NAUSĖDA,,211,62,273,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,SAULIUS,SKVERNELIS,,152,38,190,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
